,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
547,closer,8069d67a2b47_24,trial_22_leather,trial_11_waiting,trial_4_straight,trial_5_inlay,closer_leather
548,closer,8069d67a2b47_29,trial_4_straight,trial_11_waiting,trial_22_leather,trial_5_inlay,closer_straight
549,closer,8069d67a2b47_30,trial_5_inlay,trial_11_waiting,trial_22_leather,trial_4_straight,closer_inlay
550,further,8069d67a2b47_31,trial_18_pug,trial_19_pigeon,trial_3_redantique,trial_8_knob,further_pug
551,closer,d188a9a7c4b5_9,trial_14_robin,trial_15_nightingale,trial_20_cuckoo,trial_29_sparrow,closer_robin
552,closer,d188a9a7c4b5_19,trial_29_sparrow,trial_14_robin,trial_15_nightingale,trial_20_cuckoo,closer_sparrow
553,closer,d188a9a7c4b5_26,trial_20_cuckoo,trial_14_robin,trial_15_nightingale,trial_29_sparrow,closer_cuckoo
554,closer,d188a9a7c4b5_31,trial_15_nightingale,trial_14_robin,trial_20_cuckoo,trial_29_sparrow,closer_nightingale
555,further,247478e1ce8d_2,trial_21_woven,trial_15_nightingale,trial_18_pug,trial_3_redantique,further_woven
556,further,247478e1ce8d_3,trial_18_pug,trial_15_nightingale,trial_21_woven,trial_3_redantique,further_pug
557,closer,247478e1ce8d_7,trial_2_bullmastiff,trial_23_weimaraner,trial_25_goldenretriever,trial_7_basset,closer_bullmastiff
558,closer,247478e1ce8d_8,trial_25_goldenretriever,trial_23_weimaraner,trial_2_bullmastiff,trial_7_basset,closer_goldenretriever
559,further,247478e1ce8d_11,trial_3_redantique,trial_15_nightingale,trial_18_pug,trial_21_woven,further_redantique
560,closer,247478e1ce8d_13,trial_23_weimaraner,trial_25_goldenretriever,trial_2_bullmastiff,trial_7_basset,closer_weimaraner
561,closer,247478e1ce8d_17,trial_7_basset,trial_23_weimaraner,trial_25_goldenretriever,trial_2_bullmastiff,closer_basset
562,closer,247478e1ce8d_21,trial_14_robin,trial_12_bluejay,trial_19_pigeon,trial_26_crow,closer_robin
563,closer,247478e1ce8d_23,trial_19_pigeon,trial_12_bluejay,trial_14_robin,trial_26_crow,closer_pigeon
